"BidID","Price","Quantity","Period","ParentBidID","AR","Location","FC","Price_fixed"
1,"676.125",-402.2,1,1,0.6,1,60.1,676.125
2,"676.125",-402.2,2,1,0.6,1,60.1,676.125
3,"676.125",-402.2,3,1,0.6,1,60.1,676.125
4,"676.125",-402.2,4,1,0.6,1,60.1,676.125
5,"676.125",-402.2,5,1,0.6,1,60.1,676.125
6,"676.125",-402.2,6,1,0.6,1,60.1,676.125
7,"676.125",-402.2,7,1,0.6,1,60.1,676.125
8,"676.125",-402.2,8,1,0.6,1,60.1,676.125
9,"225.375",-80,9,1,0.6,1,60.1,225.375
10,"676.125",-322.2,9,1,0,1,60.1,676.125
11,"225.375",-120,10,1,0.6,1,60.1,225.375
12,"676.125",-282.2,10,1,0,1,60.1,676.125
13,"225.375",-120,11,1,0.6,1,60.1,225.375
14,"676.125",-282.2,11,1,0,1,60.1,676.125
15,"225.375",-120,12,1,0.6,1,60.1,225.375
16,"676.125",-282.2,12,1,0,1,60.1,676.125
17,"225.375",-120,13,1,0.6,1,60.1,225.375
18,"676.125",-282.2,13,1,0,1,60.1,676.125
19,"225.375",-135,14,1,0.6,1,60.1,225.375
20,"676.125",-267.2,14,1,0,1,60.1,676.125
21,"225.375",-275,15,1,0.6,1,60.1,225.375
22,"676.125",-127.2,15,1,0,1,60.1,676.125
23,"225.375",-386.7,16,1,0.6,1,60.1,225.375
24,"676.125",-15.5,16,1,0,1,60.1,676.125
25,"225.375",-387,17,1,0.6,1,60.1,225.375
26,"676.125",-15.2,17,1,0,1,60.1,676.125
27,"225.375",-386.6,18,1,0.6,1,60.1,225.375
28,"676.125",-15.6,18,1,0,1,60.1,676.125
29,"225.375",-386.8,19,1,0.6,1,60.1,225.375
30,"676.125",-15.4,19,1,0,1,60.1,676.125
31,"225.375",-386.8,20,1,0.6,1,60.1,225.375
32,"676.125",-15.4,20,1,0,1,60.1,676.125
33,"225.375",-386.5,21,1,0.6,1,60.1,225.375
34,"676.125",-15.7,21,1,0,1,60.1,676.125
35,"225.375",-386.4,22,1,0.6,1,60.1,225.375
36,"676.125",-15.8,22,1,0,1,60.1,676.125
37,"225.375",-386.5,23,1,0.6,1,60.1,225.375
38,"676.125",-15.7,23,1,0,1,60.1,676.125
39,"225.375",-387.1,24,1,0.6,1,60.1,225.375
40,"676.125",-15.1,24,1,0,1,60.1,676.125
41,"676.125",-397,1,2,0.6,1,59.4,676.125
42,"676.125",-397,2,2,0.6,1,59.4,676.125
43,"676.125",-397,3,2,0.6,1,59.4,676.125
44,"676.125",-397,4,2,0.6,1,59.4,676.125
45,"676.125",-397,5,2,0.6,1,59.4,676.125
46,"676.125",-397,6,2,0.6,1,59.4,676.125
47,"676.125",-397,7,2,0.6,1,59.4,676.125
48,"676.125",-397,8,2,0.6,1,59.4,676.125
49,"22.275",-80,9,2,0.6,1,59.4,22.275
50,"676.125",-317,9,2,0,1,59.4,676.125
51,"22.275",-120,10,2,0.6,1,59.4,22.275
52,"676.125",-277,10,2,0,1,59.4,676.125
53,"22.275",-120,11,2,0.6,1,59.4,22.275
54,"676.125",-277,11,2,0,1,59.4,676.125
55,"22.275",-120,12,2,0.6,1,59.4,22.275
56,"676.125",-277,12,2,0,1,59.4,676.125
57,"22.275",-120,13,2,0.6,1,59.4,22.275
58,"676.125",-277,13,2,0,1,59.4,676.125
59,"22.275",-160,14,2,0.6,1,59.4,22.275
60,"676.125",-237,14,2,0,1,59.4,676.125
61,"22.275",-330,15,2,0.6,1,59.4,22.275
62,"676.125",-67,15,2,0,1,59.4,676.125
63,"22.275",-385.7,16,2,0.6,1,59.4,22.275
64,"676.125",-11.3,16,2,0,1,59.4,676.125
65,"22.275",-386,17,2,0.6,1,59.4,22.275
66,"676.125",-11,17,2,0,1,59.4,676.125
67,"22.275",-385.6,18,2,0.6,1,59.4,22.275
68,"676.125",-11.4,18,2,0,1,59.4,676.125
69,"22.275",-385.7,19,2,0.6,1,59.4,22.275
70,"676.125",-11.3,19,2,0,1,59.4,676.125
71,"22.275",-385.8,20,2,0.6,1,59.4,22.275
72,"676.125",-11.2,20,2,0,1,59.4,676.125
73,"22.275",-385.4,21,2,0.6,1,59.4,22.275
74,"676.125",-11.6,21,2,0,1,59.4,676.125
75,"22.275",-385.4,22,2,0.6,1,59.4,22.275
76,"676.125",-11.6,22,2,0,1,59.4,676.125
77,"22.275",-385.5,23,2,0.6,1,59.4,22.275
78,"676.125",-11.5,23,2,0,1,59.4,676.125
79,"22.275",-386.1,24,2,0.6,1,59.4,22.275
80,"676.125",-10.9,24,2,0,1,59.4,676.125
81,"48.75",-760.4,1,3,0.6,1,99.5,48.075
82,"48.75",-760.4,2,3,0.6,1,99.5,48.075
83,"48.75",-760.5,3,3,0.6,1,99.5,48.075
84,"48.75",-761.6,4,3,0.6,1,99.5,48.075
85,"48.75",-760.8,5,3,0.6,1,99.5,48.075
