BidID;Price;Quantity;Period;ParentBidID;AR;Location;FC
1;676.125;-402.2;1;1;0.6;1;60.1
2;676.125;-402.2;2;1;0.6;1;60.1
3;676.125;-402.2;3;1;0.6;1;60.1
4;676.125;-402.2;4;1;0.6;1;60.1
5;676.125;-402.2;5;1;0.6;1;60.1
6;676.125;-402.2;6;1;0.6;1;60.1
7;676.125;-402.2;7;1;0.6;1;60.1
8;676.125;-402.2;8;1;0.6;1;60.1
9;225.375;-80;9;1;0.6;1;60.1
10;676.125;-322.2;9;1;0;1;60.1
11;225.375;-120;10;1;0.6;1;60.1
12;676.125;-282.2;10;1;0;1;60.1
13;225.375;-120;11;1;0.6;1;60.1
14;676.125;-282.2;11;1;0;1;60.1
15;225.375;-120;12;1;0.6;1;60.1
16;676.125;-282.2;12;1;0;1;60.1
17;225.375;-120;13;1;0.6;1;60.1
18;676.125;-282.2;13;1;0;1;60.1
19;225.375;-135;14;1;0.6;1;60.1
20;676.125;-267.2;14;1;0;1;60.1
21;225.375;-275;15;1;0.6;1;60.1
22;676.125;-127.2;15;1;0;1;60.1
23;225.375;-386.7;16;1;0.6;1;60.1
24;676.125;-15.5;16;1;0;1;60.1
25;225.375;-387;17;1;0.6;1;60.1
26;676.125;-15.2;17;1;0;1;60.1
27;225.375;-386.6;18;1;0.6;1;60.1
28;676.125;-15.6;18;1;0;1;60.1
29;225.375;-386.8;19;1;0.6;1;60.1
30;676.125;-15.4;19;1;0;1;60.1
31;225.375;-386.8;20;1;0.6;1;60.1
32;676.125;-15.4;20;1;0;1;60.1
33;225.375;-386.5;21;1;0.6;1;60.1
34;676.125;-15.7;21;1;0;1;60.1
35;225.375;-386.4;22;1;0.6;1;60.1
36;676.125;-15.8;22;1;0;1;60.1
37;225.375;-386.5;23;1;0.6;1;60.1
38;676.125;-15.7;23;1;0;1;60.1
39;225.375;-387.1;24;1;0.6;1;60.1
40;676.125;-15.1;24;1;0;1;60.1
41;676.125;-397;1;2;0.6;1;59.4
42;676.125;-397;2;2;0.6;1;59.4
43;676.125;-397;3;2;0.6;1;59.4
44;676.125;-397;4;2;0.6;1;59.4
45;676.125;-397;5;2;0.6;1;59.4
46;676.125;-397;6;2;0.6;1;59.4
47;676.125;-397;7;2;0.6;1;59.4
48;676.125;-397;8;2;0.6;1;59.4
49;22.275;-80;9;2;0.6;1;59.4
50;676.125;-317;9;2;0;1;59.4
51;22.275;-120;10;2;0.6;1;59.4
52;676.125;-277;10;2;0;1;59.4
53;22.275;-120;11;2;0.6;1;59.4
54;676.125;-277;11;2;0;1;59.4
55;22.275;-120;12;2;0.6;1;59.4
56;676.125;-277;12;2;0;1;59.4
57;22.275;-120;13;2;0.6;1;59.4
58;676.125;-277;13;2;0;1;59.4
59;22.275;-160;14;2;0.6;1;59.4
60;676.125;-237;14;2;0;1;59.4
61;22.275;-330;15;2;0.6;1;59.4
62;676.125;-67;15;2;0;1;59.4
63;22.275;-385.7;16;2;0.6;1;59.4
64;676.125;-11.3;16;2;0;1;59.4
65;22.275;-386;17;2;0.6;1;59.4
66;676.125;-11;17;2;0;1;59.4
67;22.275;-385.6;18;2;0.6;1;59.4
68;676.125;-11.4;18;2;0;1;59.4
69;22.275;-385.7;19;2;0.6;1;59.4
70;676.125;-11.3;19;2;0;1;59.4
71;22.275;-385.8;20;2;0.6;1;59.4
72;676.125;-11.2;20;2;0;1;59.4
73;22.275;-385.4;21;2;0.6;1;59.4
74;676.125;-11.6;21;2;0;1;59.4
75;22.275;-385.4;22;2;0.6;1;59.4
76;676.125;-11.6;22;2;0;1;59.4
77;22.275;-385.5;23;2;0.6;1;59.4
78;676.125;-11.5;23;2;0;1;59.4
79;22.275;-386.1;24;2;0.6;1;59.4
80;676.125;-10.9;24;2;0;1;59.4
81;48.75;-760.4;1;3;0.6;1;99.5
82;48.75;-760.4;2;3;0.6;1;99.5
83;48.75;-760.5;3;3;0.6;1;99.5
84;48.75;-761.6;4;3;0.6;1;99.5
85;48.75;-760.8;5;3;0.6;1;99.5
86;48.75;-758.6;6;3;0.6;1;99.5
87;48.75;-757.4;7;3;0.6;1;99.5
88;373.125;-50;8;3;0.6;1;99.5
89;373.125;-550;8;3;0;1;99.5
90;373.125;-155.6;8;3;0;1;99.5
91;373.125;-300;9;3;0.6;1;99.5
92;373.125;-300;9;3;0;1;99.5
93;373.125;-153;9;3;0;1;99.5
94;373.125;-600;10;3;0.6;1;99.5
95;373.125;-151.8;10;3;0;1;99.5
96;373.125;-600;11;3;0.6;1;99.5
97;373.125;-150.3;11;3;0;1;99.5
98;373.125;-600;12;3;0.6;1;99.5
99;373.125;-149.5;12;3;0;1;99.5
100;373.125;-600;13;3;0.6;1;99.5
101;373.125;-148.1;13;3;0;1;99.5
102;373.125;-600;14;3;0.6;1;99.5
103;373.125;-145.7;14;3;0;1;99.5
104;373.125;-600;15;3;0.6;1;99.5
105;373.125;-146.4;15;3;0;1;99.5
106;373.125;-600;16;3;0.6;1;99.5
107;373.125;-148.6;16;3;0;1;99.5
108;373.125;-600;17;3;0.6;1;99.5
109;373.125;-149.2;17;3;0;1;99.5
110;373.125;-600;18;3;0.6;1;99.5
111;373.125;-151.3;18;3;0;1;99.5
112;373.125;-600;19;3;0.6;1;99.5
113;373.125;-154.1;19;3;0;1;99.5
114;373.125;-600;20;3;0.6;1;99.5
115;373.125;-154.2;20;3;0;1;99.5
116;373.125;-600;21;3;0.6;1;99.5
117;373.125;-155.4;21;3;0;1;99.5
118;373.125;-600;22;3;0.6;1;99.5
119;373.125;-156.2;22;3;0;1;99.5
120;373.125;-150;23;3;0.6;1;99.5
121;373.125;-450;23;3;0;1;99.5
122;373.125;-157.2;23;3;0;1;99.5
123;373.125;-150;24;3;0.6;1;99.5
124;373.125;-450;24;3;0;1;99.5
125;373.125;-158.7;24;3;0;1;99.5
126;676.125;-797.8;1;4;0.6;1;94
127;676.125;-797.8;2;4;0.6;1;94
128;676.125;-797.8;3;4;0.6;1;94
129;676.125;-797.8;4;4;0.6;1;94
130;676.125;-797.8;5;4;0.6;1;94
131;676.125;-797.8;6;4;0.6;1;94
132;35.25;-40;7;4;0.6;1;94
133;48.75;-757.8;7;4;0;1;94
134;35.25;-60;8;4;0.6;1;94
135;48.75;-737.8;8;4;0;1;94
136;35.25;-100;9;4;0.6;1;94
137;48.75;-697.8;9;4;0;1;94
138;35.25;-180;10;4;0.6;1;94
139;35.25;-34;10;4;0;1;94
140;35.25;-34;10;4;0;1;94
141;35.25;-34;10;4;0;1;94
142;35.25;-34;10;4;0;1;94
143;35.25;-34;10;4;0;1;94
144;45;-112;10;4;0;1;94
145;46.5;-112;10;4;0;1;94
146;50.625;-112;10;4;0;1;94
147;52.5;-111.8;10;4;0;1;94
148;35.25;-180;11;4;0.6;1;94
149;35.25;-34;11;4;0;1;94
150;35.25;-34;11;4;0;1;94
151;35.25;-34;11;4;0;1;94
152;35.25;-34;11;4;0;1;94
153;35.25;-34;11;4;0;1;94
154;45;-112;11;4;0;1;94
155;46.5;-112;11;4;0;1;94
156;50.625;-112;11;4;0;1;94
157;52.5;-111.8;11;4;0;1;94
158;35.25;-180;12;4;0.6;1;94
159;35.25;-34;12;4;0;1;94
160;35.25;-34;12;4;0;1;94
161;35.25;-34;12;4;0;1;94
162;35.25;-34;12;4;0;1;94
163;35.25;-34;12;4;0;1;94
164;45;-112;12;4;0;1;94
165;46.5;-112;12;4;0;1;94
166;50.625;-112;12;4;0;1;94
167;52.5;-111.8;12;4;0;1;94
168;35.25;-180;13;4;0.6;1;94
169;35.25;-34;13;4;0;1;94
170;35.25;-34;13;4;0;1;94
171;35.25;-34;13;4;0;1;94
172;35.25;-34;13;4;0;1;94
173;35.25;-34;13;4;0;1;94
174;45;-112;13;4;0;1;94
175;46.5;-112;13;4;0;1;94
176;50.625;-112;13;4;0;1;94
177;52.5;-111.8;13;4;0;1;94
178;35.25;-180;14;4;0.6;1;94
179;35.25;-34;14;4;0;1;94
180;35.25;-34;14;4;0;1;94
181;35.25;-34;14;4;0;1;94
182;35.25;-34;14;4;0;1;94
183;35.25;-34;14;4;0;1;94
184;45;-112;14;4;0;1;94
185;46.5;-112;14;4;0;1;94
186;50.625;-112;14;4;0;1;94
187;52.5;-111.8;14;4;0;1;94
188;35.25;-180;15;4;0.6;1;94
189;35.25;-34;15;4;0;1;94
190;35.25;-34;15;4;0;1;94
191;35.25;-34;15;4;0;1;94
192;35.25;-34;15;4;0;1;94
193;35.25;-34;15;4;0;1;94
194;45;-112;15;4;0;1;94
195;46.5;-112;15;4;0;1;94
196;50.625;-112;15;4;0;1;94
197;52.5;-111.8;15;4;0;1;94
198;35.25;-180;16;4;0.6;1;94
199;35.25;-34;16;4;0;1;94
200;35.25;-34;16;4;0;1;94
201;35.25;-34;16;4;0;1;94
202;35.25;-34;16;4;0;1;94
203;35.25;-34;16;4;0;1;94
204;45;-112;16;4;0;1;94
205;46.5;-112;16;4;0;1;94
206;50.625;-112;16;4;0;1;94
207;52.5;-111.8;16;4;0;1;94
208;35.25;-180;17;4;0.6;1;94
209;35.25;-34;17;4;0;1;94
210;35.25;-34;17;4;0;1;94
211;35.25;-34;17;4;0;1;94
212;35.25;-34;17;4;0;1;94
213;35.25;-34;17;4;0;1;94
214;45;-112;17;4;0;1;94
215;46.5;-112;17;4;0;1;94
216;50.625;-112;17;4;0;1;94
217;52.5;-111.8;17;4;0;1;94
218;35.25;-180;18;4;0.6;1;94
219;35.25;-34;18;4;0;1;94
220;35.25;-34;18;4;0;1;94
221;35.25;-34;18;4;0;1;94
222;35.25;-34;18;4;0;1;94
223;35.25;-34;18;4;0;1;94
224;45;-112;18;4;0;1;94
225;46.5;-112;18;4;0;1;94
226;50.625;-112;18;4;0;1;94
227;52.5;-111.8;18;4;0;1;94
228;35.25;-180;19;4;0.6;1;94
229;35.25;-34;19;4;0;1;94
230;35.25;-34;19;4;0;1;94
231;35.25;-34;19;4;0;1;94
232;35.25;-34;19;4;0;1;94
233;35.25;-34;19;4;0;1;94
234;45;-112;19;4;0;1;94
235;46.5;-112;19;4;0;1;94
236;50.625;-112;19;4;0;1;94
237;52.5;-111.8;19;4;0;1;94
238;35.25;-180;20;4;0.6;1;94
