Location,Period,Price,Demand,Supply,Netflow,f_to_1,f_to_2,f_to_3,f_to_4
1,1,0.0,8815.0,-8514.999999999998,300.0000000000018,0.0,0.0,300.0,0.0
2,1,0.0,740.0,-1188.0005700000002,-448.00057000000015,300.0,0.0,300.0,0.0
3,1,0.0,7106.960000000003,-6206.959999999999,900.0000000000036,0.0,0.0,0.0,0.0
4,1,0.0,1138.4,-1890.3994300000002,-751.9994300000001,300.0,151.99943000000002,300.0,0.0
1,2,0.0,8838.400000000001,-8538.400000000001,300.0,0.0,0.0,300.0,0.0
2,2,0.0,1005.0,-1305.0,-300.0,300.0,0.0,300.0,0.0
3,2,0.0,7152.960000000001,-6252.959999999998,900.0000000000027,0.0,0.0,0.0,0.0
4,2,0.0,1047.1999999999998,-1947.2,-900.0000000000002,300.0,300.0,300.0,0.0
1,3,0.0,9015.0,-8715.0,300.0,0.0,0.0,300.0,0.0
2,3,0.0,925.0,-1225.0,-300.0,300.0,0.0,300.0,0.0
3,3,0.0,7385.84,-6485.839999999999,900.0000000000009,0.0,0.0,0.0,0.0
4,3,0.0,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,4,0.0,9154.0,-8853.999999999998,300.0000000000018,0.0,0.0,300.0,0.0
2,4,0.0,740.0,-1138.0005700000002,-398.00057000000015,300.0,0.0,300.0,0.0
3,4,0.0,7385.84,-6485.839999999999,900.0000000000009,0.0,0.0,0.0,0.0
4,4,0.0,1047.2,-1849.1994300000001,-801.9994300000001,300.0,201.99943000000002,300.0,0.0
1,5,0.0,9061.0,-8161.0,900.0,0.0,0.0,0.0,0.0
2,5,0.0,1077.0,-1377.0,-300.0,300.0,0.0,300.0,0.0
3,5,0.0,6825.840000000002,-6525.839999999999,300.00000000000273,300.0,0.0,0.0,0.0
4,5,0.0,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,6,0.0,9010.9,-8110.899999999998,900.0000000000018,0.0,0.0,0.0,0.0
2,6,0.0,971.0,-1271.0,-300.0,300.0,0.0,300.0,0.0
3,6,0.0,6825.360000000002,-6525.36,300.00000000000273,300.0,0.0,0.0,0.0
4,6,0.0,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,7,0.0,9359.8,-8459.8,900.0,0.0,0.0,0.0,0.0
2,7,0.0,1032.0,-1332.0,-300.0,300.0,0.0,300.0,0.0
3,7,0.0,6968.640000000001,-6668.639999999999,300.0000000000018,300.0,0.0,0.0,0.0
4,7,0.0,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,8,0.0,10281.6,-9381.599999999999,900.0000000000018,0.0,0.0,0.0,0.0
