BidID,Price,Quantity,Period,ParentBidID,AR,Location,FC,x_solution,y_solution,cleared_volume,z_solution,pi_star,delta_star,payment,surplus
1,676.125,402.2,1,1,0.6,1,60.1,1.0,1.0,402.2,1.0,151.875,0.0,61084.125,210853.35
2,676.125,402.2,2,1,0.6,1,60.1,1.0,1.0,402.2,1.0,170.625,0.0,68625.375,203312.1
3,676.125,402.2,3,1,0.6,1,60.1,1.0,1.0,402.2,1.0,170.625,0.0,68625.375,203312.1
4,676.125,402.2,4,1,0.6,1,60.1,1.0,1.0,402.2,1.0,190.875,0.0,76769.925,195167.55
5,676.125,402.2,5,1,0.6,1,60.1,1.0,1.0,402.2,1.0,676.125,0.0,271937.475,0.0
6,676.125,402.2,6,1,0.6,1,60.1,1.0,1.0,402.2,1.0,637.875,0.0,256553.32499999998,15384.15
7,676.125,402.2,7,1,0.6,1,60.1,1.0,1.0,402.2,1.0,583.875,0.0,234834.525,37102.95
8,676.125,402.2,8,1,0.6,1,60.1,1.0,1.0,402.2,1.0,308.925,0.0,124249.635,147687.84
9,225.375,80.0,9,1,0.6,1,60.1,0.0,-0.0,0.0,1.0,225.37500000000003,1452.0000000000005,0.0,0.0
10,676.125,322.2,9,1,0.0,1,60.1,1.0,1.0,322.2,1.0,225.37500000000003,0.0,72615.82500000001,145231.65
11,225.375,120.0,10,1,0.6,1,60.1,0.052500000000004356,0.052500000000004356,6.300000000000523,1.0,225.375,2178.000000000001,1305.5175000001082,0.0
12,676.125,282.2,10,1,0.0,1,60.1,1.0,1.0,282.2,1.0,225.375,0.0,63600.825,127201.65
13,225.375,120.0,11,1,0.6,1,60.1,0.0674999999999983,0.0674999999999983,8.099999999999795,1.0,225.375,2178.000000000001,1678.5224999999577,0.0
14,676.125,282.2,11,1,0.0,1,60.1,1.0,1.0,282.2,1.0,225.375,0.0,63600.825,127201.65
15,225.375,120.0,12,1,0.6,1,60.1,0.034166666666664965,0.03416666666666496,4.099999999999795,1.0,225.375,2178.000000000001,849.6224999999577,0.0
16,676.125,282.2,12,1,0.0,1,60.1,1.0,1.0,282.2,1.0,225.375,0.0,63600.825,127201.65
17,225.375,120.0,13,1,0.6,1,60.1,0.0,-0.0,0.0,1.0,281.175,0.0,0.0,0.0
18,676.125,282.2,13,1,0.0,1,60.1,1.0,1.0,282.2,1.0,281.175,0.0,79347.585,111454.89
19,225.375,135.0,14,1,0.6,1,60.1,0.378518518518517,0.37851851851851703,51.099999999999795,1.0,225.375,2450.250000000001,10589.197499999957,0.0
20,676.125,267.2,14,1,0.0,1,60.1,1.0,1.0,267.2,1.0,225.375,0.0,60220.2,120440.4
21,225.375,275.0,15,1,0.6,1,60.1,1.0,1.0,275.0,1.0,207.225,0.0,56986.875,4991.250000000002
22,676.125,127.2,15,1,0.0,1,60.1,1.0,1.0,127.2,1.0,207.225,0.0,26359.02,59644.08
23,225.375,386.7,16,1,0.6,1,60.1,1.0,1.0,386.7,1.0,207.225,0.0,80133.9075,7018.605000000002
24,676.125,15.5,16,1,0.0,1,60.1,1.0,1.0,15.5,1.0,207.225,0.0,3211.9874999999997,7267.95
25,225.375,387.0,17,1,0.6,1,60.1,1.0,1.0,387.0,1.0,207.225,0.0,80196.075,7024.050000000002
26,676.125,15.2,17,1,0.0,1,60.1,1.0,1.0,15.2,1.0,207.225,0.0,3149.8199999999997,7127.28
27,225.375,386.6,18,1,0.6,1,60.1,1.0,1.0,386.6,1.0,200.625,0.0,77561.625,9568.35
28,676.125,15.6,18,1,0.0,1,60.1,1.0,1.0,15.6,1.0,200.625,0.0,3129.75,7417.8
29,225.375,386.8,19,1,0.6,1,60.1,1.0,1.0,386.8,1.0,190.875,0.0,73830.45,13344.6
30,676.125,15.4,19,1,0.0,1,60.1,1.0,1.0,15.4,1.0,190.875,0.0,2939.475,7472.85
31,225.375,386.8,20,1,0.6,1,60.1,1.0,1.0,386.8,1.0,190.875,0.0,73830.45,13344.6
