BidID,Price,Quantity,Period,ParentBidID,AR,Location,FC,x_solution,y_solution,cleared_volume,z_solution,pi_star,delta_star,consumer_surplus,producer_surplus
1,676.125,402.2,1,1,0.6,1,60.1,1.0,1.0,402.2,1.0,63.825,0.0,246267.05999999997,0.0
2,676.125,402.2,2,1,0.6,1,60.1,1.0,1.0,402.2,1.0,190.875,0.0,195167.55,0.0
3,676.125,402.2,3,1,0.6,1,60.1,1.0,1.0,402.2,1.0,170.625,0.0,203312.1,0.0
4,676.125,402.2,4,1,0.6,1,60.1,1.0,1.0,402.2,1.0,177.975,0.0,200355.93,0.0
5,676.125,402.2,5,1,0.6,1,60.1,0.9858279462953783,1.0,396.50000000000114,1.0,676.125,0.0,0.0,0.0
6,676.125,402.2,6,1,0.6,1,60.1,1.0,1.0,402.2,1.0,637.875,0.0,15384.15,0.0
7,676.125,402.2,7,1,0.6,1,60.1,1.0,1.0,402.2,1.0,637.725,0.0,15444.47999999999,0.0
8,676.125,402.2,8,1,0.6,1,60.1,1.0,1.0,402.2,1.0,308.925,0.0,147687.84,0.0
9,225.375,80.0,9,1,0.6,1,60.1,-0.0,-0.0,-0.0,1.0,207.225,0,0.0,0.0
10,676.125,322.2,9,1,0.0,1,60.1,1.0,1.0,322.2,1.0,207.225,0.0,151079.58,0.0
11,225.375,120.0,10,1,0.6,1,60.1,-0.0,-0.0,-0.0,1.0,207.225,0,0.0,0.0
12,676.125,282.2,10,1,0.0,1,60.1,1.0,1.0,282.2,1.0,207.225,0.0,132323.58,0.0
13,225.375,120.0,11,1,0.6,1,60.1,-0.0,-0.0,-0.0,1.0,207.225,0,0.0,0.0
14,676.125,282.2,11,1,0.0,1,60.1,1.0,1.0,282.2,1.0,207.225,0.0,132323.58,0.0
15,225.375,120.0,12,1,0.6,1,60.1,-0.0,-0.0,-0.0,1.0,207.225,0,0.0,0.0
16,676.125,282.2,12,1,0.0,1,60.1,1.0,1.0,282.2,1.0,207.225,0.0,132323.58,0.0
17,225.375,120.0,13,1,0.6,1,60.1,0.0,-0.0,0.0,1.0,299.475,0,0.0,0.0
18,676.125,282.2,13,1,0.0,1,60.1,1.0,1.0,282.2,1.0,299.475,0.0,106290.62999999999,0.0
19,225.375,135.0,14,1,0.6,1,60.1,-0.0,-0.0,-0.0,1.0,207.225,0,0.0,0.0
20,676.125,267.2,14,1,0.0,1,60.1,1.0,1.0,267.2,1.0,207.225,0.0,125290.07999999999,0.0
21,225.375,275.0,15,1,0.6,1,60.1,1.0,1.0,275.0,1.0,207.225,0.0,4991.250000000002,0.0
22,676.125,127.2,15,1,0.0,1,60.1,1.0,1.0,127.2,1.0,207.225,0.0,59644.08,0.0
23,225.375,386.7,16,1,0.6,1,60.1,1.0,1.0,386.7,1.0,207.225,0.0,7018.605000000002,0.0
