BidID,Price,Quantity,Period,ParentBidID,AR,Location,FC,x_solution,y_solution,z_solution,pi_star,delta_star
1,676.125,402.2,1,1,0.6,1,60.1,1.0,1.0,1.0,63.825,-60.1
2,676.125,402.2,2,1,0.6,1,60.1,1.0,1.0,1.0,190.875,-60.1
3,676.125,402.2,3,1,0.6,1,60.1,1.0,1.0,1.0,170.625,-60.1
4,676.125,402.2,4,1,0.6,1,60.1,1.0,1.0,1.0,177.975,-60.1
5,676.125,402.2,5,1,0.6,1,60.1,0.9858279462953783,1.0,1.0,676.125,-60.1
6,676.125,402.2,6,1,0.6,1,60.1,1.0,1.0,1.0,637.875,-60.1
7,676.125,402.2,7,1,0.6,1,60.1,1.0,1.0,1.0,637.725,-60.1
8,676.125,402.2,8,1,0.6,1,60.1,1.0,1.0,1.0,308.925,-60.1
9,225.375,80.0,9,1,0.6,1,60.1,-0.0,-0.0,1.0,207.225,-60.1
10,676.125,322.2,9,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
11,225.375,120.0,10,1,0.6,1,60.1,-0.0,-0.0,1.0,207.225,-60.1
12,676.125,282.2,10,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
13,225.375,120.0,11,1,0.6,1,60.1,-0.0,-0.0,1.0,207.225,-60.1
14,676.125,282.2,11,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
15,225.375,120.0,12,1,0.6,1,60.1,-0.0,-0.0,1.0,207.225,-60.1
16,676.125,282.2,12,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
17,225.375,120.0,13,1,0.6,1,60.1,0.0,-0.0,1.0,299.475,-60.1
18,676.125,282.2,13,1,0.0,1,60.1,1.0,1.0,1.0,299.475,-60.1
19,225.375,135.0,14,1,0.6,1,60.1,-0.0,-0.0,1.0,207.225,-60.1
20,676.125,267.2,14,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
21,225.375,275.0,15,1,0.6,1,60.1,1.0,1.0,1.0,207.225,-60.1
22,676.125,127.2,15,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
23,225.375,386.7,16,1,0.6,1,60.1,1.0,1.0,1.0,207.225,-60.1
24,676.125,15.5,16,1,0.0,1,60.1,1.0,1.0,1.0,207.225,-60.1
25,225.375,387.0,17,1,0.6,1,60.1,1.0,1.0,1.0,194.175,-60.1
26,676.125,15.2,17,1,0.0,1,60.1,1.0,1.0,1.0,194.175,-60.1
27,225.375,386.6,18,1,0.6,1,60.1,1.0,1.0,1.0,200.625,-60.1
28,676.125,15.6,18,1,0.0,1,60.1,1.0,1.0,1.0,200.625,-60.1
29,225.375,386.8,19,1,0.6,1,60.1,1.0,1.0,1.0,170.625,-60.1
30,676.125,15.4,19,1,0.0,1,60.1,1.0,1.0,1.0,170.625,-60.1
31,225.375,386.8,20,1,0.6,1,60.1,1.0,1.0,1.0,170.625,-60.1
32,676.125,15.4,20,1,0.0,1,60.1,1.0,1.0,1.0,170.625,-60.1
33,225.375,386.5,21,1,0.6,1,60.1,1.0,1.0,1.0,170.625,-60.1
34,676.125,15.7,21,1,0.0,1,60.1,1.0,1.0,1.0,170.625,-60.1
35,225.375,386.4,22,1,0.6,1,60.1,1.0,1.0,1.0,170.625,-60.1
36,676.125,15.8,22,1,0.0,1,60.1,1.0,1.0,1.0,170.625,-60.1
37,225.375,386.5,23,1,0.6,1,60.1,0.0,-0.0,1.0,299.475,-60.1
38,676.125,15.7,23,1,0.0,1,60.1,1.0,1.0,1.0,299.475,-60.1
39,225.375,387.1,24,1,0.6,1,60.1,0.0,-0.0,1.0,281.175,-60.1
40,676.125,15.1,24,1,0.0,1,60.1,1.0,1.0,1.0,281.175,-60.1
41,676.125,-397.0,1,2,0.6,1,59.4,0.0,-0.0,1.0,63.825,-59.4
42,676.125,-397.0,2,2,0.6,1,59.4,0.0,-0.0,1.0,190.875,-59.4
43,676.125,-397.0,3,2,0.6,1,59.4,0.0,-0.0,1.0,170.625,-59.4
44,676.125,-397.0,4,2,0.6,1,59.4,0.0,-0.0,1.0,177.975,-59.4
45,676.125,-397.0,5,2,0.6,1,59.4,0.0,-0.0,1.0,676.125,-59.4
46,676.125,-397.0,6,2,0.6,1,59.4,0.0,-0.0,1.0,637.875,-59.4
47,676.125,-397.0,7,2,0.6,1,59.4,0.0,-0.0,1.0,637.725,-59.4
48,676.125,-397.0,8,2,0.6,1,59.4,0.0,-0.0,1.0,308.925,-59.4
49,22.275,-80.0,9,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
50,676.125,-317.0,9,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
51,22.275,-120.0,10,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
52,676.125,-277.0,10,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
53,22.275,-120.0,11,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
54,676.125,-277.0,11,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
55,22.275,-120.0,12,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
56,676.125,-277.0,12,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
57,22.275,-120.0,13,2,0.6,1,59.4,1.0,1.0,1.0,299.475,-59.4
58,676.125,-277.0,13,2,0.0,1,59.4,0.0,-0.0,1.0,299.475,-59.4
59,22.275,-160.0,14,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
60,676.125,-237.0,14,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
61,22.275,-330.0,15,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
62,676.125,-67.0,15,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
63,22.275,-385.7,16,2,0.6,1,59.4,1.0,1.0,1.0,207.225,-59.4
64,676.125,-11.3,16,2,0.0,1,59.4,0.0,-0.0,1.0,207.225,-59.4
65,22.275,-386.0,17,2,0.6,1,59.4,1.0,1.0,1.0,194.175,-59.4
66,676.125,-11.0,17,2,0.0,1,59.4,0.0,-0.0,1.0,194.175,-59.4
67,22.275,-385.6,18,2,0.6,1,59.4,1.0,1.0,1.0,200.625,-59.4
68,676.125,-11.4,18,2,0.0,1,59.4,0.0,-0.0,1.0,200.625,-59.4
69,22.275,-385.7,19,2,0.6,1,59.4,1.0,1.0,1.0,170.625,-59.4
70,676.125,-11.3,19,2,0.0,1,59.4,0.0,-0.0,1.0,170.625,-59.4
71,22.275,-385.8,20,2,0.6,1,59.4,1.0,1.0,1.0,170.625,-59.4
72,676.125,-11.2,20,2,0.0,1,59.4,0.0,-0.0,1.0,170.625,-59.4
73,22.275,-385.4,21,2,0.6,1,59.4,1.0,1.0,1.0,170.625,-59.4
74,676.125,-11.6,21,2,0.0,1,59.4,0.0,-0.0,1.0,170.625,-59.4
75,22.275,-385.4,22,2,0.6,1,59.4,1.0,1.0,1.0,170.625,-59.4
76,676.125,-11.6,22,2,0.0,1,59.4,0.0,-0.0,1.0,170.625,-59.4
77,22.275,-385.5,23,2,0.6,1,59.4,1.0,1.0,1.0,299.475,-59.4
78,676.125,-11.5,23,2,0.0,1,59.4,0.0,-0.0,1.0,299.475,-59.4
79,22.275,-386.1,24,2,0.6,1,59.4,1.0,1.0,1.0,281.175,-59.4
80,676.125,-10.9,24,2,0.0,1,59.4,0.0,-0.0,1.0,281.175,-59.4
81,48.075,760.4,1,3,0.6,1,99.5,0.0,-0.0,1.0,63.825,-99.5
82,48.075,760.4,2,3,0.6,1,99.5,0.0,-0.0,1.0,190.875,-99.5
83,48.075,760.5,3,3,0.6,1,99.5,0.0,-0.0,1.0,170.625,-99.5
84,48.075,761.6,4,3,0.6,1,99.5,0.0,-0.0,1.0,177.975,-99.5
85,48.075,760.8,5,3,0.6,1,99.5,0.0,-0.0,1.0,676.125,-99.5
86,48.075,758.6,6,3,0.6,1,99.5,0.0,-0.0,1.0,637.875,-99.5
87,48.075,757.4,7,3,0.6,1,99.5,0.0,-0.0,1.0,637.725,-99.5
88,373.125,50.0,8,3,0.6,1,99.5,1.0,1.0,1.0,308.925,-99.5
89,373.125,550.0,8,3,0.0,1,99.5,1.0,1.0,1.0,308.925,-99.5
90,373.125,155.6,8,3,0.0,1,99.5,1.0,1.0,1.0,308.925,-99.5
91,373.125,300.0,9,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
92,373.125,300.0,9,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
93,373.125,153.0,9,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
94,373.125,600.0,10,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
95,373.125,151.8,10,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
96,373.125,600.0,11,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
97,373.125,150.3,11,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
98,373.125,600.0,12,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
99,373.125,149.5,12,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
100,373.125,600.0,13,3,0.6,1,99.5,1.0,1.0,1.0,299.475,-99.5
101,373.125,148.1,13,3,0.0,1,99.5,1.0,1.0,1.0,299.475,-99.5
102,373.125,600.0,14,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
103,373.125,145.7,14,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
104,373.125,600.0,15,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
105,373.125,146.4,15,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
106,373.125,600.0,16,3,0.6,1,99.5,1.0,1.0,1.0,207.225,-99.5
107,373.125,148.6,16,3,0.0,1,99.5,1.0,1.0,1.0,207.225,-99.5
108,373.125,600.0,17,3,0.6,1,99.5,1.0,1.0,1.0,194.175,-99.5
109,373.125,149.2,17,3,0.0,1,99.5,1.0,1.0,1.0,194.175,-99.5
110,373.125,600.0,18,3,0.6,1,99.5,1.0,1.0,1.0,200.625,-99.5
111,373.125,151.3,18,3,0.0,1,99.5,1.0,1.0,1.0,200.625,-99.5
112,373.125,600.0,19,3,0.6,1,99.5,1.0,1.0,1.0,170.625,-99.5
113,373.125,154.1,19,3,0.0,1,99.5,1.0,1.0,1.0,170.625,-99.5
114,373.125,600.0,20,3,0.6,1,99.5,1.0,1.0,1.0,170.625,-99.5
115,373.125,154.2,20,3,0.0,1,99.5,1.0,1.0,1.0,170.625,-99.5
116,373.125,600.0,21,3,0.6,1,99.5,1.0,1.0,1.0,170.625,-99.5
117,373.125,155.4,21,3,0.0,1,99.5,1.0,1.0,1.0,170.625,-99.5
118,373.125,600.0,22,3,0.6,1,99.5,1.0,1.0,1.0,170.625,-99.5
