Location,Period,Price,Demand,Supply,Netflow,f_to_1,f_to_2,f_to_3,f_to_4
1,1,63.825,8838.400000000001,-8538.399999999998,300.00000000000364,0.0,0.0,300.0,0.0
2,1,37.125,1158.6,-1458.6,-300.0,300.0,0.0,300.0,0.0
3,1,308.925,7106.960000000003,-6206.959999999999,900.0000000000036,0.0,0.0,0.0,0.0
4,1,37.125,1138.4,-2038.4,-900.0,300.0,300.0,300.0,0.0
1,2,190.875,8915.0,-8615.0,300.0,0.0,0.0,300.0,0.0
2,2,54.375,1158.6,-1458.6,-300.0,300.0,0.0,300.0,0.0
3,2,281.175,7198.960000000001,-6298.959999999999,900.0000000000018,0.0,0.0,0.0,0.0
4,2,37.125,1047.1999999999998,-1947.2,-900.0000000000002,300.0,300.0,300.0,0.0
1,3,170.625,9015.0,-8715.0,300.0,0.0,0.0,300.0,0.0
2,3,150.075,1133.6,-1433.6,-300.0,300.0,0.0,300.0,0.0
3,3,207.22499999999997,7398.0,-6497.999999999999,900.0000000000009,0.0,0.0,0.0,0.0
4,3,37.125,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,4,177.975,9183.4,-8883.399999999998,300.0000000000018,0.0,0.0,300.0,0.0
2,4,37.125,895.0,-1195.0,-300.0,300.0,0.0,300.0,0.0
3,4,207.22499999999997,7398.72,-6498.719999999999,900.0000000000009,0.0,0.0,0.0,0.0
4,4,37.125,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,5,676.125,9127.899999999998,-8227.9,899.9999999999982,0.0,0.0,0.0,0.0
2,5,150.075,1081.6,-1381.6,-300.0,300.0,0.0,300.0,0.0
3,5,306.075,6888.960000000001,-6588.959999999998,300.00000000000273,300.0,0.0,0.0,0.0
4,5,37.125,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
1,6,637.875,9010.9,-8110.899999999999,900.0000000000009,0.0,0.0,0.0,0.0
2,6,150.075,982.6,-1282.6,-299.9999999999999,300.0,0.0,300.0,0.0
3,6,306.075,6890.480000000001,-6590.479999999999,300.00000000000273,300.0,0.0,0.0,0.0
4,6,37.125,1047.2,-1947.1999999999998,-899.9999999999998,300.0,300.0,300.0,0.0
1,7,637.725,9359.800000000001,-8459.8,900.0000000000018,0.0,0.0,0.0,0.0
2,7,150.075,1091.0,-1391.0,-300.0,300.0,0.0,300.0,0.0
3,7,306.075,6968.64,-6668.639999999999,300.0000000000009,300.0,0.0,0.0,0.0
4,7,37.125,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0
